"precinct","oblast","places","noplaces","type","size","ukrainian","district14par","registered14par","voted14parl","oppblock14par","porosh14par","r14parl","turnout14parl","registered14pres","voted14pres","turnout14pres","r14pres","Poroshenko","district","registered12","voted12","turnout12","r12","roads","rlon","rlat","quality.ent","quality","quality.UKR","distrussia","Raion","dist_regional","distkiev","donetsk","qualityq"
590957,"Сумська"," СУМИ",1,"city",3,77.44,157,2352,1373,0.068463219227968,0.249089584850692,13.2556445739257,0.583758503401361,2363,1651,0.69868810833686,8.84312537855845,984,157,2382,1509,0.633501259445844,26.3088137839629,87.7464122544193,34.80184,50.917913,0.0389705568708082,45.0294604052283,0.985840397380492,3.39372721475196,"Sums",0.0839970747933984,5.72500601531197,388.968292321103,0.13899313626874
590958,"Сумська"," СУМИ",1,"city",3,77.44,157,2320,1327,0.0572720422004522,0.249434815373022,12.1326299924642,0.57198275862069,2300,1493,0.649130434782609,6.96584058941728,935,157,2329,1486,0.638042078145127,24.8317631224764,87.5681386742377,34.801553,50.917928,0.0396612781553031,45.1483958883069,0.98584016395147,3.39370088728716,"Sums",0.0765115636183679,5.72494156975645,388.98130092806,0.14018556389236
590959,"Сумська"," СУМИ",1,"city",3,77.44,157,2352,1369,0.0460189919649379,0.244704163623083,10.6647187728269,0.582057823129252,2330,1608,0.690128755364807,6.8407960199005,1026,157,2363,1432,0.6060093101989,27.4441340782123,73.7057295280618,34.804671,50.921649,0.0457956243683855,47.9461835363915,0.989435052186621,3.37940667000132,"Sums",0.433030313944653,5.72584011537537,389.193093781793,0.17076744351909
590960,"Сумська"," СУМИ",1,"city",3,77.44,157,2384,1339,0.0313666915608663,0.26437640029873,7.91635548917102,0.561661073825503,2362,1599,0.67696867061812,5.75359599749844,1028,157,2444,1444,0.590834697217676,18.213296398892,87.593392856635,34.794989,50.91934,0.0380617262668905,44.0382905698736,0.986498284000727,3.38923142007128,"Sums",0.186360481120908,5.72352140528233,389.376063586904,0.12938389664761
590961,"Сумська"," СУМИ",1,"city",3,77.44,157,2356,1345,0.0513011152416357,0.276579925650558,10.8550185873606,0.57088285229202,2336,1588,0.679794520547945,7.7455919395466,1015,157,2400,1468,0.611666666666667,22.6839237057221,88.8643818364593,34.798107,50.918841,0.0391922492356734,44.8849982569563,0.986469333294237,3.39068241385223,"Sums",0.108047101469912,5.72420497036908,389.204114436842,0.137556235616782
590962,"Сумська"," СУМИ",1,"city",3,77.44,157,2464,1339,0.0351008215085885,0.285287528005975,8.81254667662435,0.543425324675325,2401,1614,0.672219908371512,6.07187112763321,1011,157,2443,1448,0.592713876381498,21.4088397790055,74.5199666214901,34.792072,50.921507,0.0384459235113553,44.3758314474614,0.987853329650057,3.38150467930853,"Sums",0.40982390478148,5.72296931957588,389.691337548605,0.1325910983374
590963,"Сумська"," СУМИ",1,"city",3,77.44,157,2416,1398,0.0379113018597997,0.290414878397711,8.0829756795422,0.57864238410596,2386,1635,0.685247275775356,6.85015290519878,1069,157,2385,1411,0.591614255765199,20.3401842664777,72.6503521018974,34.790191,50.925377,0.0378085118963167,44.2325595342935,0.990463810556067,3.36706319120291,"Sums",0.660916065202644,5.72274243335361,390.119166378828,0.131221626435303
590964,"Сумська"," СУМИ",1,"city",3,77.44,157,2452,1308,0.0389908256880734,0.265290519877676,8.48623853211009,0.533442088091354,2434,1577,0.647904683648316,5.89727330374128,1019,157,2488,1471,0.591237942122186,22.093813732155,75.6717369698258,34.792119,50.921692,0.0384281259142406,44.2555502691074,0.988031225507966,3.38079907740344,"Sums",0.41980942246453,5.72298958654159,389.706225711144,0.131440572750977
590965,"Сумська"," СУМИ",1,"city",3,77.44,157,2408,1238,0.0234248788368336,0.303715670436187,6.78513731825525,0.514119601328904,2397,1556,0.649144764288694,5.65552699228792,1028,157,2453,1329,0.541785568691398,21.0684725357412,68.3732629414298,34.786008,50.92607,0.0358559242903656,43.4360917308527,0.989470580835872,3.36502491970013,"Sums",0.78811981256715,5.72182635731082,390.352014619665,0.123826103734682
590966,"Сумська"," СУМИ",1,"city",3,77.44,157,2392,1364,0.0212609970674487,0.271994134897361,5.64516129032258,0.570234113712375,2356,1621,0.688030560271647,4.62677359654534,1021,157,2445,1407,0.575460122699387,17.5550817341862,71.5366189921097,34.786771,50.926049,0.036042371874363,43.5140465136558,0.989751329099601,3.36499231963823,"Sums",0.768468062376002,5.72199903040243,390.319103875094,0.12453383705137
590967,"Сумська"," СУМИ",1,"city",3,77.44,157,1964,1003,0.032901296111665,0.232303090727817,6.9790628115653,0.510692464358452,1939,1257,0.648272305312017,5.01193317422434,737,157,1945,1054,0.541902313624679,21.9165085388994,56.9395149204447,34.766957,50.931877,0.0276736438384157,38.0566937500967,0.981957109900234,3.34636915093785,"Sums",1.37184178795311,5.71778800394317,391.654090738122,0.0827366279474245
590968,"Сумська"," СУМИ",1,"city",3,77.44,157,1544,856,0.0151869158878505,0.26285046728972,7.12616822429907,0.55440414507772,1535,993,0.646905537459283,5.63947633434038,649,157,1525,838,0.549508196721311,18.854415274463,57.514285483076,34.767676,50.932074,0.0286669847678113,38.5717836049777,0.98247449863443,3.34544124375216,"Sums",1.36055285361237,5.71796291835226,391.642651094535,0.0860588058948257
590969,"Сумська"," СУМИ",1,"city",3,77.44,157,2080,1072,0.0233208955223881,0.270522388059701,5.50373134328358,0.515384615384615,2059,1337,0.64934434191355,3.51533283470456,891,157,2421,1197,0.494423791821561,15.7059314954052,61.5692890067129,34.775358,50.925423,0.0243864303701159,37.8195698441645,0.984114292499663,3.36943226246965,"Sums",1.0589122579034,5.71936361726685,390.726667617259,0.0812468062792915
590970,"Сумська"," СУМИ",1,"city",3,77.44,157,2352,1283,0.0514419329696025,0.269680436477007,10.6780982073266,0.545493197278912,2347,1544,0.657861099275671,6.60621761658031,932,157,2383,1343,0.563575325220311,24.5718540580789,100.216157569007,34.794819,50.912203,0.0292586793107177,39.3727464496888,0.979221740062936,3.41564519552168,"Sums",-0.584915013095987,5.7231193569074,388.735183553366,0.0914651427291085
590971,"Сумська"," СУМИ",1,"city",3,77.44,157,2424,1339,0.023898431665422,0.295743091859597,7.24421209858103,0.552392739273927,2401,1629,0.678467305289463,4.48127685696746,1012,157,2404,1383,0.575291181364393,20.5350686912509,82.6015598212095,34.78569,50.915144,0.0345561704140599,43.1450597755645,0.980186623466048,3.40615294263188,"Sums",0.369588760434172,5.72118810654689,389.373714290923,0.121214349912156
590972,"Сумська"," СУМИ",1,"city",3,77.44,157,2100,1143,0.0201224846894138,0.222222222222222,6.64916885389326,0.544285714285714,2252,1410,0.626110124333925,5.88652482269504,816,157,2341,1309,0.559162750961128,20.550038197097,83.6172447895304,34.786915,50.913014,0.0368103080253475,43.3131969543388,0.978401772055778,3.4137960211446,"Sums",0.213752944499594,5.72135902849761,389.130681973365,0.122717386788735
590973,"Сумська"," СУМИ",1,"city",3,77.44,157,2140,1216,0.0452302631578947,0.296052631578947,11.4309210526316,0.568224299065421,2133,1430,0.670417252695734,7.06293706293706,873,157,2465,1446,0.586612576064909,22.268326417704,82.862551018299,34.789042,50.911187,0.0344281805818271,42.6415903022517,0.97701568996269,3.42015471321324,"Sums",-0.0298403271848556,5.72175161264846,388.878350456357,0.116808310890029
590974,"Сумська"," СУМИ",1,"city",3,77.44,157,2020,1237,0.0363783346806791,0.248989490703314,8.64995957962813,0.612376237623762,2011,1397,0.694679264047737,6.01288475304223,886,157,1767,1056,0.597623089983022,21.1174242424242,76.274090423464,34.785961,50.911403,0.0362969064851355,43.311044889422,0.976452099147389,3.41980182430255,"Sums",0.238326766024549,5.72105971037103,389.02356292547,0.122698047846328
590975,"Сумська"," СУМИ",1,"city",3,77.44,157,1996,1183,0.0388841927303466,0.277261200338123,12.5950972104818,0.592685370741483,1992,1357,0.681224899598394,8.84303610906411,809,157,2038,1327,0.651128557409225,30.3692539562924,74.5477029178271,34.78668,50.909623,0.0357893723253423,43.0801755605639,0.974734950903282,3.42614906259818,"Sums",0.146761225843096,5.72113392519472,388.832926304374,0.120638584346002
590976,"Сумська"," СУМИ",1,"city",3,77.44,157,1772,1024,0.033203125,0.2548828125,9.08203125,0.577878103837472,1765,1172,0.664022662889518,6.48464163822526,717,157,1682,953,0.566587395957194,24.1343126967471,80.0917838248802,34.789187,50.90726,0.0344865596562682,41.7585573960529,0.97268554926664,3.43429883839467,"Sums",-0.113857184552115,5.72158739435051,388.516511020045,0.109416060506312
590977,"Сумська"," СУМИ",1,"city",3,77.44,157,2348,1302,0.0391705069124424,0.265745007680492,8.60215053763441,0.554514480408859,2320,1534,0.661206896551724,4.88917861799218,980,157,2476,1428,0.576736672051696,23.8095238095238,65.1047583710809,34.778131,50.911908,0.0349857839165973,42.9041053349017,0.97435068566794,3.41918941762508,"Sums",0.713319991095964,5.71929711689609,389.388957830515,0.119088063627075
590978,"Сумська"," СУМИ",1,"city",3,77.44,157,2460,1206,0.0298507462686567,0.277777777777778,7.46268656716418,0.490243902439024,2430,1450,0.596707818930041,3.72413793103448,905,157,2463,1325,0.537961835160374,23.0943396226415,47.7797376873579,34.762956,50.909132,0.0306696510412478,40.6687563437419,0.964593023068496,3.43221993786957,"Sums",1.25769826973421,5.71568070840644,389.759125894457,0.100861295840527
590979,"Сумська"," СУМИ",1,"city",3,77.44,157,2468,1132,0.0238515901060071,0.278268551236749,6.09540636042403,0.458670988654781,2457,1495,0.608465608465608,3.74581939799331,990,157,2485,1325,0.533199195171026,16.6037735849057,53.3160834707939,34.766369,50.921502,0.0202031331830317,34.7477916714425,0.976620619968473,3.38618285956872,"Sums",1.24134859077153,5.71710247812441,390.738216017124,0.0640474774333488
590980,"Сумська"," СУМИ",1,"city",3,77.44,157,2424,1197,0.0225563909774436,0.268170426065163,5.0125313283208,0.493811881188119,2378,1420,0.597140454163162,4.50704225352113,907,157,2478,1358,0.548022598870056,19.8821796759941,53.8269744755497,34.767234,50.91787,0.0247669094705259,36.9943795873179,0.974502199968802,3.39953006675111,"Sums",1.1786023810289,5.7171108735192,390.374098609845,0.0762511166389314
590981,"Сумська"," СУМИ",1,"city",3,77.44,157,1896,1042,0.0335892514395393,0.301343570057582,6.90978886756238,0.54957805907173,1880,1260,0.670212765957447,5.79365079365079,802,157,1778,1081,0.607986501687289,23.1267345050879,53.3892923861627,34.76018,50.897984,0.0322790199424714,40.5734749423363,0.95149420262089,3.47191518375641,"Sums",1.36468631227843,5.71448266848268,388.866671804366,0.100142282127712
590982,"Сумська"," СУМИ",1,"city",3,77.44,157,2256,1269,0.0291568163908589,0.304964539007092,7.09219858156028,0.5625,2268,1525,0.672398589065256,4.98360655737705,1000,157,2271,1423,0.626596213121973,26.2825017568517,51.9223275999852,34.759757,50.898164,0.0322561347924334,40.609415200871,0.951489005856436,3.47138064276103,"Sums",1.37399460535292,5.71439435708231,388.90032358025,0.100412958325462
590983,"Сумська"," СУМИ",1,"city",3,77.44,157,2320,1275,0.0282352941176471,0.326274509803922,6.90196078431373,0.549568965517241,2272,1489,0.655369718309859,3.62659503022163,979,157,2318,1356,0.584987057808456,24.6312684365782,50.5002114653372,34.756851,50.893487,0.0332784189281025,41.9383724480927,0.944670670652398,3.48792945510176,"Sums",1.47313690268458,5.71349497274025,388.598340826065,0.110887308715519
590984,"Сумська"," СУМИ",1,"city",3,77.44,157,1616,873,0.0286368843069874,0.323024054982818,8.13287514318442,0.540222772277228,1572,1059,0.673664122137405,5.76015108593012,666,157,1591,919,0.577624135763671,22.5244831338411,48.9181022714636,34.756347,50.893442,0.0339504945677624,42.1733010993894,0.944366382031479,3.48818142699605,"Sums",1.48433559475533,5.7133767480548,388.615072972597,0.112835565616078
